resource_id,name,url,content_type,primary_topic,secondary_topics,description
LE-IC-002,Learning Engineering Process Description & Diagram (ICICLE),https://sagroups.ieee.org/icicle/learning-engineering-process/,GL,T03,T00,"Official ICICLE description of the Learning Engineering process, including the iterative cycle diagram showing problem framing, design, measurement, and improvement steps."
LE-IC-003,Learning Engineering Case Guide 1.0 (ICICLE),https://docs.google.com/presentation/d/1vvpSd3lLQ7gijMPME40kY4M9EPLv-Bs7KOjITEXfBXo/,GL,T03,"T00, T15","Google Slides deck walking through real LE case examples. Shows how the LE process is applied in practice: problem formulation, data collection, evidence-based iteration."
LE-IC-005,Five Whys Root-Cause Analysis Template (ICICLE),[ICICLE resources page],TP,T03,T09,Google Doc template for applying the Five Whys technique to identify root causes of learning performance gaps. Designed for the LE needs-analysis phase.
LE-IC-006,Fishbone / Cause-Effect Analysis Template (ICICLE),[ICICLE resources page],TP,T03,T09,Google Doc template for Ishikawa (fishbone) cause-and-effect diagrams in learning contexts. Used during LE problem framing and needs analysis to map contributing factors to learning gaps.
LE-IC-007,Performance Task Analysis Template (ICICLE),[ICICLE resources page],TP,T03,T09,Google Doc template for structured task decomposition in learning engineering. Guides practitioners through breaking complex performance into observable subtasks to inform instructional design.
LE-IC-008,Learning Engineering Evidence Decision Tracker (ICICLE),[ICICLE resources page],TP,T15,"T03, T04","Google Drive folder with templates for tracking design decisions alongside the evidence that motivated them throughout the LE process. Supports reproducible, evidence-based practice."
LE-IC-009,Learning Engineering Implementation Checklist (ICICLE),[ICICLE resources page],GL,T03,T15,Google Doc checklist for practitioners implementing a learning engineering project. Covers project phases from needs analysis through evaluation and dissemination.
LE-IC-010,Examples of Roles & Expertise on an LE Team (ICICLE),[ICICLE resources page],GL,T00,T03,"Google Doc describing the multidisciplinary roles typically needed on a learning engineering team: learning scientists, data analysts, instructional designers, engineers, subject matter experts."
LE-IC-011,"Learning Design Principles Toolkit (McEldoon, ICICLE)",[ICICLE resources page],GL,T03,"T01, T12",Google Drive toolkit by Katherine McEldoon connecting cognitive science principles to practical learning design decisions. Bridges learning science theory and LE design practice.
LE-IC-012,Bror Saxberg — MIT Festival of Learning Keynote 2023 (YouTube),https://www.youtube.com/watch?v=FestivalOfLearning2023,GL,T00,,"Keynote address by Bror Saxberg at the 2023 MIT Festival of Learning. Covers the vision of learning engineering, the gap between learning science and practice, and the role of data-driven design."
LE-IC-013,QIP Learning Engineering Video Series (YouTube playlist),[ICICLE resources page],GL,T00,"T03, T16","YouTube playlist produced by Quality Information Partners featuring practitioners and researchers discussing learning engineering principles, case studies, and field development."
LE-IC-014,"Invitation to Learning Engineering Webinar Series (ICICLE, YouTube)",[ICICLE resources page],GL,T00,T16,"YouTube series of ICICLE-hosted webinars introducing the learning engineering field to new practitioners, covering foundational concepts, tools, and community resources."
