rank,verdict,in_corpus,cites,year,title,doi_url,authors,venue,rationale,sources
1,NO,,1080,2019,Data-Driven Science and Engineering,https://doi.org/10.1017/9781108380690,Steven L. Brunton; J. Nathan Kutz,Cambridge University Press eBooks,Engineering-education confusable phrasing; no LE venue/figure.,openalex
2,NO,,409,2019,Salp swarm algorithm: a comprehensive survey,https://doi.org/10.1007/s00521-019-04629-4,Laith Abualigah; Mohammad Shehab; Mohammad Alshinwan,Neural Computing and Applications,No abstract and no LE signals in title/venue/authors.,openalex|semanticscholar
3,NO,,384,2003,Peer Instruction versus Class-wide Discussion in Large Classes: A comparison of two interaction methods in the wired classroom,https://doi.org/10.1080/0307507032000122297,David Nicol; James T. Boyle,Studies in Higher Education,Nicol & Boyle — peer instruction; 'learning engineering' here means students learning engineering content.,openalex|semanticscholar
4,NO,,346,2020,FedVision: An Online Visual Object Detection Platform Powered by Federated Learning,https://doi.org/10.1609/aaai.v34i08.7021,Yang Liu; Anbu Huang; Yun Luo,Proceedings of the AAAI Conference on Artificial Intelligence,No LE-discipline signals found.,openalex|semanticscholar
5,NO,,304,2018,OuterSPACE: An Outer Product Based Sparse Matrix Multiplication Accelerator,https://doi.org/10.1109/hpca.2018.00067,Subhankar Pal; Jonathan Beaumont; Dong-Hyeon Park,,No LE-discipline signals found.,openalex|semanticscholar
6,NO,,219,2016,Multi-Information Source Optimization,,Matthias Poloczek; Jialei Wang; P. Frazier,Neural Information Processing Systems,No LE-discipline signals found.,semanticscholar
7,NO,,204,2019,BoTorch: A Framework for Efficient Monte-Carlo Bayesian Optimization,https://doi.org/10.48550/arxiv.1910.06403,Maximilian Balandat; Brian Karrer; Daniel Jiang,arXiv (Cornell University),No LE-discipline signals found.,openalex
8,NO,,187,2010,Engineering and Sustainable Community Development,https://doi.org/10.1007/978-3-031-79961-7,Juan Lucena; Jen Schneider; Jon A. Leydens,"Synthesis lectures on engineers, technology, and society",No abstract and no LE signals in title/venue/authors.,openalex|semanticscholar
9,NO,,179,1999,"Learning Engineering: Design, Languages, and Experiences*",https://doi.org/10.1002/j.2168-9830.1999.tb00425.x,Clive L. Dym,Journal of Engineering Education,Engineering-education venue (engineering-ed confusable).,openalex|semanticscholar
10,NO,,165,2010,Exploring the Engineering Student Experience: Findings from the Academic Pathways of People Learning Engineering Survey (APPLES),,Sheri Sheppard; Shannon Gilmartin; Helen L. Chen,,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
11,NO,,156,2018,Bayesian Optimization of Combinatorial Structures,,Ricardo Baptista; Matthias Poloczek,arXiv (Cornell University),No LE-discipline signals found.,openalex|semanticscholar
12,NO,,149,2006,Service-Learning: Engineering in Your Community,,Marybeth Lima; William Oakes; David Bowles,,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
13,NO,,144,1996,Kids Learning Engineering Science Using LEGO and the Programmable Brick,,Fred Martin,,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
14,YES,Y,125,2019,Explanatory learner models: Why machine learning (alone) is not the answer,https://doi.org/10.1111/bjet.12858,Carolyn Penstein Rosé; Elizabeth A. McLaughlin; Ran Liu,British Journal of Educational Technology,Rose et al. explicitly frames 'learning engineering teams' developing explanatory learner models; canonical LE paper.,openalex|semanticscholar
15,NO,,115,2022,Adoption of Virtual and Augmented Reality for Mathematics Education: A Scoping Review,https://doi.org/10.1109/access.2022.3145991,Joel Weijia Lai; Kang Hao Cheong,IEEE Access,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
16,NO,,101,2019,BoTorch: Programmable Bayesian Optimization in PyTorch,,Maximilian Balandat; B. Karrer; Daniel R. Jiang,arXiv.org,No LE-discipline signals found.,semanticscholar
17,NO,,100,2010,Engineering and Sustainable Community Development,https://doi.org/10.2200/s00247ed1v01y201001ets011,Juan Lucena; Jen Schneider; Jon A. Leydens,"Synthesis lectures on engineers, technology, and society",No abstract and no LE signals in title/venue/authors.,openalex
18,NO,,96,2025,AIDE: AI-Driven Exploration in the Space of Code,https://doi.org/10.48550/arxiv.2502.13138,"Zonglin Jiang; Schmidt, Dominik; D. Srikanth",ArXiv.org,No LE-discipline signals found.,openalex|semanticscholar
19,NO,,94,2017,Material Tinkering. An inspirational approach for experiential learning and envisioning in product design education,https://doi.org/10.1080/14606925.2017.1353059,Stefano Parisi; Valentina Rognoli; M. H. Sonneveld,The Design Journal,Parisi Material Tinkering — 'learning engineering concept' = students learning an engineering concept.,openalex|semanticscholar
20,NO,,94,2003,Service-learning in engineering,https://doi.org/10.1109/fie.2002.1158178,William Oakes; John Duffy; Thomas M. Jacobius,,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
21,NO,,90,2021,OpenBox: A Generalized Black-box Optimization Service,https://doi.org/10.1145/3447548.3467061,Yang Li; Yu Shen; Wentao Zhang,,No LE-discipline signals found.,openalex|semanticscholar
22,NO,,85,1994,Circuits to control--learning engineering by designing LEGO robots,,Fred Martin,DSpace@MIT (Massachusetts Institute of Technology),Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
23,NO,,85,2020,Using Technology to Support Student Learning in an Integrated STEM Learning Environment,https://doi.org/10.46328/ijtes.v4i1.22,Dazhi Yang; Sally Baldwin,International Journal of Technology in Education and Science,Yang & Baldwin STEM review — 'learning engineering and technology' = students learning engineering.,openalex|semanticscholar
24,NO,,84,2008,"Innovative Techniques in Instruction Technology, E-learning, E-assessment, and Education",https://doi.org/10.1007/978-1-4020-8739-4,Magued Iskander,,No abstract and no LE signals in title/venue/authors.,openalex
25,NO,,78,2016,New Trends in Neutrosophic Theory and Applications,https://doi.org/10.48550/arxiv.1611.08555,Florentín Smarandache; Surapati Pramanik,arXiv (Cornell University),No LE-discipline signals found.,openalex
26,ADJACENT,,77,2021,YAMATO: Yet-another more advanced top-level ontology,https://doi.org/10.3233/ao-210257,Riichiro Mizoguchi; Stefano Borgo,Applied Ontology,Mizoguchi YAMATO upper ontology mentions 'learning engineering' as application domain; adjacent.,openalex|semanticscholar
27,NO,,77,2016,New Trends in Neutrosophic Theory and Applications,,F. Smarandache; Surapati Pramanik; A. A. Salama,arXiv.org,No LE-discipline signals found.,semanticscholar
28,NO,,65,2008,Internet-Based Teaching and Experiment System for Control Engineering Course,https://doi.org/10.1109/tie.2008.921229,Min Wu; Jinhua She; Gui-Xiu Zeng,IEEE Transactions on Industrial Electronics,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
29,NO,,65,1986,The social psychology of education : current research and theory,,Robert S. Feldman,Cambridge University Press eBooks,Feldman 1986 social-psych-of-education — 'engineering social psychology in the classroom' metaphorical.,openalex|semanticscholar
30,NO,,63,2001,A Report on Service-Learning and Engineering Design: Service-Learning's Effect on Students Learning Engineering Design in 'Introduction to Mechanical Engineering',,Edmund Tsang; James Van Haneghan; Burke Johnson,International journal of engineering education,Engineering-education venue (engineering-ed confusable).,openalex|semanticscholar
31,NO,,62,2020,Integration of different assessment approaches: application to a project-based learning engineering course,https://doi.org/10.1016/j.ece.2020.04.006,Eva Cifrián; A. Andrés; Berta Galán,Education for Chemical Engineers,Engineering-education venue (engineering-ed confusable).,openalex|semanticscholar
32,NO,,61,2019,BoTorch: Programmable Bayesian Optimization in PyTorch.,,Maximilian Balandat; Brian Karrer; Daniel Jiang,,No LE-discipline signals found.,openalex
33,NO,,58,2009,The Relationships between Students' Conceptions of Learning Engineering and their Preferences for Classroom and Laboratory Learning Environments,https://doi.org/10.1002/j.2168-9830.2009.tb01017.x,Chia‐Ching Lin; Chin‐Chung Tsai,Journal of Engineering Education,Engineering-education venue (engineering-ed confusable).,openalex|semanticscholar
34,NO,,58,2015,Engineering students’ conceptions of entrepreneurial learning as part of their education,https://doi.org/10.1080/03043797.2015.1012708,Marge Täks; Päivi Tynjälä; Hasso Kukemelk,European Journal of Engineering Education,Engineering-education venue (engineering-ed confusable).,openalex|semanticscholar
35,NO,,58,2017,Taco: A tool to generate tensor algebra kernels,https://doi.org/10.1109/ase.2017.8115709,Fredrik Kjølstad; Stephen Y. Chou; David Lugato,,No LE-discipline signals found.,openalex|semanticscholar
36,NO,,54,2018,Bayesian Optimization of Combinatorial Structures,https://doi.org/10.48550/arxiv.1806.08838,Ricardo Baptista; Matthias Poloczek,arXiv (Cornell University),No LE-discipline signals found.,openalex
37,NO,,54,2023,Benchmarking Large Language Models As AI Research Agents,https://doi.org/10.48550/arxiv.2310.03302,Qian Huang; Jian Vora; Percy Liang,arXiv.org,No abstract and no LE signals in title/venue/authors.,semanticscholar
38,YES,Y,50,2018,Learning Engineering for Online Education,https://doi.org/10.4324/9781351186193,,,Dede/Richards/Saxberg 'Learning Engineering for Online Education' — canonical LE textbook.,openalex|semanticscholar
39,NO,,50,2020,Learning Engineering By Product Dissection,https://doi.org/10.18260/1-2--6162,Vipin Kumar; Miguel Ángel Medina Torres; J.-E. Jørgensen,,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
40,NO,,48,2017,Implementasi Metode STIFIn dalam Meningkatkan Kemampuan Menghafal Al-Qur’an di Rumah Qur’an STIFIn Paiton Probolinggo,https://doi.org/10.15642/jpai.2017.5.2.201-223,Akmal Mundiri; Irma Zahra,Jurnal Pendidikan Agama Islam (Journal of Islamic Education Studies),"STIFIn Quran-memorization — Indonesian 'rekayasa pembelajaran'; Islamic-ed study, not LE.",openalex|semanticscholar
41,NO,,48,2014,Computational Intelligence and Metaheuristic Algorithms with Applications,https://doi.org/10.1155/2014/425853,Xin-She Yang; S. Chien; T. Ting,TheScientificWorldJournal,No LE-discipline signals found.,semanticscholar
42,NO,,47,2021,Bayesian Optimization of Function Networks,,Raul Astudillo; P. Frazier,Neural Information Processing Systems,No LE-discipline signals found.,semanticscholar
43,NO,,46,2014,Biodiesel and Integrated STEM: Vertical Alignment of High School Biology/Biochemistry and Chemistry,https://doi.org/10.1021/ed500029t,Andrea C. Burrows; Jonathan Breiner; Jennifer Keiner,Journal of Chemical Education,Engineering-education venue (engineering-ed confusable).,openalex
44,NO,,45,2021,Chilled water temperature resetting using model-free reinforcement learning: Engineering application,https://doi.org/10.1016/j.enbuild.2021.111694,Shunian Qiu; Zhenhai Li; Dalian Fan,Energy and Buildings,No abstract and no LE signals in title/venue/authors.,openalex|semanticscholar
45,NO,,45,2007,The Challenges and Benefits of Using Robots in Higher Education,https://doi.org/10.1080/10798587.2007.10642948,Uwe Gerecke; Bernardo Wagner,Intelligent Automation & Soft Computing,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
46,ADJACENT,,43,2006,Critical success factors for the development of mobile learning applications,,Κaterina Papanikolaou; Stephanos Mavromoustakos,"Internet, Multimedia Systems and Applications",Papanikolaou & Mavromoustakos MobE mobile-learning-engineering process — SWE-for-mLearning; pre-ICICLE adjacent.,openalex|semanticscholar
47,NO,,43,2023,Multi-Label Classification of Chest X-ray Abnormalities Using Transfer Learning Techniques,https://doi.org/10.3390/jpm13101426,Jakub Kufel; Michał Bielówka; Marcin Rojek,Journal of Personalized Medicine,ML-engineering sub-field (MLOps/DL eng) without LE context.,openalex|semanticscholar
48,NO,,43,2019,Using Technology to Enhance Learning and Engagement in Engineering.,,M. Koretsky; Alejandra J. Magana,,No abstract and no LE signals in title/venue/authors.,semanticscholar
49,NO,,42,2020,Identifying And Investigating Difficult Concepts In Engineering Mechanics And Electric Circuits,https://doi.org/10.18260/1-2--948,Ruth Streveler; Monica Geist; Ravel F. Ammerman,,Engineering-education confusable phrasing; no LE venue/figure.,openalex
50,NO,,41,2015,Spatial Ability in Learning Engineering Mechanics: Critical Review,https://doi.org/10.1061/(asce)ei.1943-5541.0000266,Oai Ha; Ning Fang,Journal of Professional Issues in Engineering Education and Practice,Engineering-education venue (engineering-ed confusable).,openalex|semanticscholar
51,NO,,41,2002,Text to diagram to symbol: representational transformations in problem-solving,https://doi.org/10.1109/fie.2001.963721,Wendy McCracken; Wendy Newstetter,,McCracken & Newstetter — 'learning engineering problem solving' = learning to solve engineering problems.,openalex|semanticscholar
52,NO,,41,2020,Development of the Teaching Engineering Self-Efficacy Scale (TESS) for K-12 Teachers,https://doi.org/10.18260/1-2--21224,So Yoon Yoon; Miles G. Evans; Johannes Ströbel,,Engineering-education confusable phrasing; no LE venue/figure.,openalex
53,NO,,41,2013,Adapting Smartphones as Learning Technology in a Korean University,https://doi.org/10.3233/jid-2013-0002,Juseuk Kim; L. Ilon; J. Altmann,Journal of Integrated Design & Process Science,No abstract and no LE signals in title/venue/authors.,semanticscholar
54,NO,,39,1999,The role of hardware in learning engineering fundamentals: An empirical study of engineering design and product analysis activity,,Margot Brereton,PhDT,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
55,NO,,38,2020,Is Teamwork Different Online Versus Face-to-Face? A Case in Engineering Education,https://doi.org/10.3390/su122410444,Julián Goñi; Catalina Cortázar; Danilo Alvares,Sustainability,Goñi et al. teamwork in PBL engineering courses — EngEd study.,openalex|semanticscholar
56,NO,,36,2020,"The Motivation and Experience of Distance Learning Engineering Programmes Students: A Study of Non-Traditional, Returning, Evening, and Adult Students",https://doi.org/10.18488/journal.61.2020.81.134.148,Luis Miguel Dos Santos,International Journal of Education and Practice,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
57,NO,,36,2001,<i>A modern and interactive approach to learning engineering mathematics</i>,https://doi.org/10.1111/1467-8535.00190,Anthony Croft; Joe Ward,British Journal of Educational Technology,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
58,NO,,36,2022,Player profiles for game‐based applications in engineering education,https://doi.org/10.1002/cae.22576,Diego Vergara; Álvaro Antón‐Sancho; Pablo Fernández‐Arias,Computer Applications in Engineering Education,Engineering-education venue (engineering-ed confusable).,openalex|semanticscholar
59,NO,,36,2002,The use of learning style innovations to improve retention,https://doi.org/10.1109/fie.1995.483166,Pamela Kramer-Koehler; Nancy M. Tooney; Devendra P. Beke,,Kramer-Koehler learning-style innovations for engineering retention — EngEd.,openalex|semanticscholar
60,NO,,36,2022,"How Language and Technology Can Improve Student Learning Quality in Engineering? Definition, Factors for Enhancing Students Comprehension, and Computational Bibliometric Analysis",https://doi.org/10.26858/ijole.v6i4.53587,Dwi Fitria Al Husaeni; Dwi Novia Al Husaeni; Risti Ragadhita,International Journal of Language Education,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
61,NO,,35,2018,E-exams in engineering education — online testing of engineering competencies: Experiences and lessons learned,https://doi.org/10.1109/educon.2018.8363281,Cornelia Böhmer; Nina Feldmann; Michael Ibsen,,No LE-discipline signals found.,openalex|semanticscholar
62,NO,,35,2020,Learning Essays And The Reflective Learner: Supporting Reflection In Engineering Design Education,https://doi.org/10.18260/1-2--6665,Janet K. Allen; Farrokh Mistree; Wendy Newstetter,,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
63,NO,,34,2013,Integrating Sustainable Development into a Service-Learning Engineering Course,https://doi.org/10.1061/(asce)ei.1943-5541.0000169,Keren Kaplan Mintz; Mark Talesnick; Bernard Amadei,Journal of Professional Issues in Engineering Education and Practice,Engineering-education venue (engineering-ed confusable).,openalex|semanticscholar
64,NO,,33,2021,SimJEB: Simulated Jet Engine Bracket Dataset,https://doi.org/10.1111/cgf.14353,Eamon Whalen; Azariah Beyene; Caitlin Mueller,Computer Graphics Forum,No LE-discipline signals found.,openalex|semanticscholar
65,YES,,32,2022,Learning Engineering Toolkit,https://doi.org/10.4324/9781003276579,Jim Goodell; Janet L. Kolodner,,Goodell & Kolodner 'Learning Engineering Toolkit' — canonical LE volume.,openalex|semanticscholar
66,NO,,32,2019,Exploring the limitations of biophysical propensity scales coupled with machine learning for protein sequence analysis,https://doi.org/10.1038/s41598-019-53324-w,Daniele Raimondi; Gabriele Orlando; Wim Vranken,Scientific Reports,No LE-discipline signals found.,openalex|semanticscholar
