resource_id,registry_name,proposed_title,suggested_collection,suggested_format,proposed_description,primary_topic,secondary_topics,registry_description
LE-IC-005,Five Whys Root-Cause Analysis Template (ICICLE),Five Whys Root-Cause Analysis Template,practice,template,Template for applying the Five Whys method to identify root causes of learning performance gaps during needs analysis and problem framing.,T03,T09,Google Doc template for applying the Five Whys technique to identify root causes of learning performance gaps. Designed for the LE needs-analysis phase.
LE-IC-006,Fishbone / Cause-Effect Analysis Template (ICICLE),Fishbone Cause-and-Effect Analysis Template,practice,template,Ishikawa fishbone template for mapping contributing factors to learning problems in the discovery and diagnosis stages of learning engineering.,T03,T09,Google Doc template for Ishikawa (fishbone) cause-and-effect diagrams in learning contexts. Used during LE problem framing and needs analysis to map contributing factors to learning gaps.
LE-IC-007,Performance Task Analysis Template (ICICLE),Performance Task Analysis Template,practice,template,Structured task-analysis template that decomposes complex performance into observable subtasks to inform instructional and assessment design.,T03,T09,Google Doc template for structured task decomposition in learning engineering. Guides practitioners through breaking complex performance into observable subtasks to inform instructional design.
LE-IC-008,Learning Engineering Evidence Decision Tracker (ICICLE),Learning Engineering Evidence Decision Tracker,practice,toolkit,"Template set for documenting design decisions with their supporting evidence across iterations, improving transparency and reproducibility.",T15,"T03, T04","Google Drive folder with templates for tracking design decisions alongside the evidence that motivated them throughout the LE process. Supports reproducible, evidence-based practice."
LE-IC-009,Learning Engineering Implementation Checklist (ICICLE),Learning Engineering Implementation Checklist,practice,template,Project checklist covering end-to-end implementation steps from problem framing through evaluation and dissemination.,T03,T15,Google Doc checklist for practitioners implementing a learning engineering project. Covers project phases from needs analysis through evaluation and dissemination.
LE-IC-010,Examples of Roles & Expertise on an LE Team (ICICLE),Learning Engineering Team Roles and Expertise Guide,practice,framework,"Role map for multidisciplinary LE teams, outlining typical contributions from learning science, data, design, engineering, and domain experts.",T00,T03,"Google Doc describing the multidisciplinary roles typically needed on a learning engineering team: learning scientists, data analysts, instructional designers, engineers, subject matter experts."
LE-IC-011,"Learning Design Principles Toolkit (McEldoon, ICICLE)",Learning Design Principles Toolkit (McEldoon),practice,toolkit,"Toolkit connecting cognitive science principles to practical learning design moves, with examples for day-to-day LE workflow decisions.",T03,"T01, T12",Google Drive toolkit by Katherine McEldoon connecting cognitive science principles to practical learning design decisions. Bridges learning science theory and LE design practice.
LE-IC-013,QIP Learning Engineering Video Series (YouTube playlist),QIP Learning Engineering Video Series,events,series,"Curated video series featuring LE practitioners and researchers discussing field foundations, implementation cases, and lessons learned.",T00,"T03, T16","YouTube playlist produced by Quality Information Partners featuring practitioners and researchers discussing learning engineering principles, case studies, and field development."
LE-IC-014,"Invitation to Learning Engineering Webinar Series (ICICLE, YouTube)",Introduction to Learning Engineering Webinar Series,events,series,"ICICLE-hosted webinar series for newcomers, introducing core concepts, workflows, and entry points into the LE community.",T00,T16,"YouTube series of ICICLE-hosted webinars introducing the learning engineering field to new practitioners, covering foundational concepts, tools, and community resources."
LE-IC-016,"Silver Lining for Learning — Art & Science of Learning Engineering (podcast, 2023)",Silver Lining for Learning: The Art and Science of Learning Engineering,events,podcast,Podcast episode on balancing rigorous evidence practices with creative design in real-world learning engineering work.,T00,,Episode of the Silver Lining for Learning podcast exploring learning engineering as both an art and a science — balancing rigorous measurement with creative instructional design.
